department,number,ddd,title,credits,description,prereq1,prereq2,csi_concentration,isConcentrationCore,ece_concentration
ECE,566,ECE,Deep Learning (3),3,"This course is an introduction to deep learning, which provides a fundamental understanding of neural networks (NNs). The course will cover different NNs, activation functions, hyperparameter tuning, batch normalization, regularization, optimization, and intuition to create application specific loss functions. Topics include Single and Multi-Layer Perceptron, Convolutional Neural Network (CNN) and sequential models. Recommended prerequisites: A knowledge of Python, Bash/Linux, basic statistics, probability, and optimization is recommended.",,,,,Signal Processing and Communications
ECE,571,ECE,Probability and Random Processes (3),3,"A foundation in the theory and applications of probability and stochastic processes with an emphasis on applications within the broad areas of electrical and computer engineering such as signal processing, detection, estimation, and communications. Fundamental probabilistic results such as the axioms of probability, random variables, distribution functions, functions and sequences of random variables, stochastic processes, and representations of random processes and their application in electrical and computer engineering. ",ECE370,,,,
ECE,572,ECE,Advanced Digital Communications (3),3,"An introduction to digital communications, including signal generation, signal detection, synchronization, channel modeling, and coding. Baseband pulse modulation. Signal space representation of signals and optimal receiver structures. Bandpass modulation techniques including PSK, QAM and FSK. Carrier, symbol, and frame synchronization. Channel characterization and modeling, including terrestrial channels. ",ECE471,,,Core,Signal Processing and Communications
ECE,573,ECE,Radiowave Propagation and Remote Sensing (3),3,"An introduction to the basic physical mechanisms of electromagnetic wave propagation in the troposphere and ionosphere, and the fundamentals of microwave remote sensing. Direct transmission. Attenuation due to atmospheric gases and rain. Reflection and refraction of electromagnetic waves, ducting and ray tracing. Path loss and fading models. Groundwave and ionospheric propagation. Active and passive remote sensing systems. ",ECE310,,,,
ECE,574,ECE,Modern Wireless Networks (3),3,"This course provides a comprehensive study of recent wireless data and telecommunication networks. Topics include fundamentals of wireless coding and modulation, wireless signal propagation, cellular networks: 1G/2G/3G, LTE, LTE-Advanced, and 5G, IEEE 802.11a/b/g/n/ac wireless local area networks, 60 GHz mmWave wireless networks, vehicular wireless networks, and wireless protocols for Internet of Things including Bluetooth, BLE, 802.15.4, Zigbee, LoRA and SigFox. ",ECE416,ECE572,,,
ECE,581,ECE,Linear Control Theory (3),3,"An introduction to the analysis and design of linear control systems. Mathematical models, including state-space variable models. Continuous and sampled-data systems. Feedback control, and stability. Root locus and frequency response compensation methods. Uncertain models and robustness. ",ECE371,,,Core,Signal Processing and Communications
ECE,602,ECE,Advanced Power Electronics (3),3,"Topics on advanced power electronics circuit design including gate drive circuit design, wide bandgap power devices and their applications, snubber circuits, high frequency resonant power conversion including variable frequency control, asymmetrical pulse width modulation and phase shift control. Voltage and current mode control techniques, power factor correction rectification techniques as well as design guidelines for electromagnetic compliance will be covered. This course includes a design project based on real life applications in fields such as renewable energy, transportation electrification, telecom, data centers. ",ECE502,,,,Electronic Circuits and Systems
ECE,620,ECE,Mixed-Signal IC Design (3),3,"The implementation of digital and analog circuits together on a single integrated circuit. The design of analog integrated circuits such as operational amplifiers, operational transconductance amplifiers, and bandgap voltage references. Analog and digital IC design concepts are combined to develop a user-programmable Video Graphics Array (VGA) controller IC that stores user-selected digital values in its internal registers. A final project requires the design of a VGA controller that reads its screen contents from an external SRAM. ",ECE521,,,,Electronic Circuits and Systems
ECE,621,ECE,Radio Frequency IC Design (3),3,"The design, simulation, and implementation of RF/microwave integrated circuit components and devices for applications within the medium frequency (MF) to ultrahigh frequency (UHF) range. System and design concepts are taught through the example of the Radio Frequency Identification (RFID) system. A final project requires the design of an RFID integrated circuit to operate at 433 MHz. Designs are built using the MOSIS 0.5 um process. ",ECE520,,,,Electronic Circuits and Systems
ECE,629,ECE,Projects in Electronic Circuits and Systems (3),3,"Supervised projects in Electronic Circuits and Systems. Students investigate the state-of-the-art in Electronic Circuits and Systems through the study of current publications, class discussions, student presentations, and a major project. ",,,,,
ECE,659,ECE,Projects in Control and Computing Systems (3),3,"Supervised projects in Control and Computing Systems. Students investigate the state-of-the-art in Control and Computing Systems through the study of current publications, class discussions, student presentations, and a major project. ",,,,,
ECE,660,ECE,Topics in Electrical and Computer Engineering (3),3,This course will explore current emerging technologies and related technical management practices on a global basis. The content of this course will vary from semester to semester. Each offering will cover an advanced engineering topic in Electrical and Computer Engineering. May be repeated for credit when content varies. ,,,,,
ECE,664,ECE,Probabilistic Machine Learning (3),3,"An introduction to the foundations of machine learning from a probabilistic perspective. Topics include linear models (e.g., logistic and linear regression), nonparametric models (exemplar-based and kernel methods, trees), clustering, dimensionality reduction, learning with fewer examples, and basics of neural networks. ",ECE571,,,,Signal Processing and Communications
ECE,672,ECE,Foundations of Statistical Inference (3),3,"An introduction to the tools needed to address modern inference problems in engineering and data science addressing the common methodology needed for applications in areas such as signal processing, communications, control, machine learning and artificial intelligence. Topics include fundamental principles of statistical decision theory and their application to hypothesis testing and estimation, classical optimality criteria for decision rules and their performance, Bayesian and non-Bayesian parameter estimation and properties of estimators. ",ECE571,,,,Signal Processing and Communications
ECE,673,ECE,"Information Theory, Inference, and Machine Learning (3)",3,"The mathematics of Information Theory and its relationship to Machine Learning and Bayesian Inference. Topics will include Discrete Probability, Entropy, Mutual Information, Typical Sequences and Sets, Data Compression, Huffman Codes, Universal Source Coding, Discrete Memoryless Channels, Channel Capacity, Arithmetic Coding, Differential Entropy, Gaussian Channels, Rate Distortion Theory, Machine Learning Tree Algorithms, Clustering, and Inference.  Special Topics will address Machine Learning and Inference viewed from the lens of Information Theory and an introduction to Quantum Shannon Theory. ",ECE571,,,,Signal Processing and Communications
ECE,674,ECE,Error Control Coding (3),3,"The course will begin with an introduction to the fundamental problems of the ECC Theory, and their mathematical formulations. Topics covered in class include algebraic codes (cyclic codes, BCH codes, Reed-Solomon codes), convolutional codes, and modern graph based codes (Turbo-Codes and LDPC codes). ",ECE462,,,,Signal Processing and Communications
ECE,676,ECE,Wireless Communications (3),3,"This course introduces students to design, analysis and fundamental limits of wireless communication systems. Topics that will be covered in this course include: wireless channel models, fading and diversity, mmWave propagation, capacity of wireless channels, adaptive modulation techniques, multiple-antenna and MIMO systems; multicarrier systems and OFDM and inter-symbol interference countermeasures. ",ECE572,,,,Signal Processing and Communications
ECE,677,ECE,Communication Network Analysis (3),3,"The objective of the course is to develop mathematical models that allow the study of packet arrival, admission control and congestion control used in emerging high-speed and wireless networks. This course is focused on probabilistic modeling and analysis of communication network protocols. Topics covered are Markov Chains, Poisson process, queueing models, network of queues, stability and delay analysis, optimal routing, capacity assignment, rate control, fairness. ",ECE416,ECE571,,,Signal Processing and Communications
ECE,679,ECE,Projects in Signal Processing and Communications (3),3,"Supervised projects in Signal Processing and Communications. Students investigate the state-of-the-art in Signal Processing and Communications through the study of current publications, class discussions, student presentations, and a major project. ",,,,,
ECE,680,ECE,Advanced Linear Control Theory (3),3,"An introduction to the analysis and design of control systems. System modeling and analysis. System structural properties such as stability, controllability, observability. Optimization and design to meet specifications. Feedback control systems emphasizing on state space techniques. Optimum feedback control including dynamic programming and numerical methods. Minimum principle. Infinite Horizon LQR problems. ",ECE581,,,,Control and Computer Systems
ECE,681,ECE,Nonlinear and Adaptive Control (3),3,"An introduction to the basic concepts of nonlinear and adaptive control. Nonlinear and adaptive control systems. Lyapunov stability and boundedness. Identification and parameter estimation. Bayesian and non-Bayesian adaptive control. Gradient and least squares schemes. Direct and indirect adaptive control. Self-tuning regulators. Model Reference. Pole placement algorithms. Convergence, stability and robustness properties. ",ECE581,ECE571,,,Control and Computer Systems
ECE,695,ECE,Master's Project (3),3,Independent project at the master's level under the direction of faculty guidance. May be repeated for credit with permission of department. ,,,,,
ECE,697,ECE,Graduate Independent Study and Research (1-3),1,Independent study in a particular area of electrical and computer engineering under the supervision of a departmental faculty member. May be repeated for credit with permission of the department. ,,,,,
ECE,699,ECE,Master's Thesis (1-9),6,Independent research project at the master's level under the direction of faculty guidance. Students will present their research as appropriate. May be repeated for credit with permission of department. ,,,,,
ECE,890,ECE,Doctoral Research (1-15),1,Independent research project at the doctoral level under the direction of faculty guidance. Students will present their research as appropriate. May be repeated for credit with permission of department. ,,,,,
ECE,899,ECE,Doctoral Dissertation (1-15),1,"Independent research at the doctoral level under the direction of faculty guidance. Students will present their research as appropriate. May be repeated for credit with permission of department. Registration for this course is limited to doctoral students who have met all requirements with the exception of the dissertation defense and its official submission to the Graduate School. Requirements include successfully passing all examinations, meeting the minimum GPA requirement, and completing all program requirements as indicated on the approved academic Plan of Study. ",,,,,
MAT,500,MAT,Mathematics for Data Science (3),3,"This course surveys and introduces mathematical methods that are necessary for taking further courses in the data science MS program (DAT-MS). It includes topics from analysis, linear algebra, statistics, and mathematical modeling. ",,,,,
MAT,502,MAT,Programming for Data Science (3),3,This course provides a fast-paced introduction to computing concepts and skills that are relevant to data science and experimental mathematics. Core concepts in programming are covered with a practical focus on data representation and manipulation. No prior programming experience is assumed but may be helpful.,,,,,
PHY,517,PHY,Statistical Mechanics (3),3,"An introduction to statistical methods and the description of a variety of phenomena on a statistical basis. Thermodynamics, statistical mechanics, and kinetic theory are presented from a unified point of view. Topics include elements of probability theory, interaction between macroscopic systems and their parameters, equilibrium, ensembles, classical and quantum statistics, systems of interacting particles, Boltzmann equation, irreversible processes, and fluctuations. This course is intended for physics graduate students on the masters track. ",,,,,
PHY,527,PHY,Classical Mechanics (3),3,"The fundamental principles of classical mechanics are covered. These include the Lagrangian formulation, action, variational principles, and equations of motion, Hamilton’s principle, conserved quantities, rigid bodies, Hamiltonian formulation and canonical equations, canonical transformations and generating functions, Liouville’s theorem. This course is intended for physics graduate students on the masters track.",,,,,
